X,Y,Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude
2018-01-09T11:25:08.330Z,1,av65070682,2018-01-09 11:25:08,-2.8,1.78,56.9021667,-158.633
2018-01-11T06:13:22.400Z,2,av65071532,2018-01-11 06:13:22,15.01,1.31,56.9026667,-158.4883333
2018-02-02T07:01:34.360Z,3,av61648326,2018-02-02 07:01:34,-3.19,2.12,56.918,-158.6021667
2018-02-02T10:45:38.760Z,4,av61648511,2018-02-02 10:45:38,8.96,2.94,56.8901667,-158.341
2018-02-07T05:24:35.830Z,5,av70776284,2018-02-07 05:24:35,6.79,1.74,56.8991667,-158.4466667
2018-02-07T21:38:39.760Z,6,av61652831,2018-02-07 21:38:39,7.83,2.51,56.3101667,-159.1308333
2018-02-07T22:50:25.640Z,7,av61652861,2018-02-07 22:50:25,6.35,1.27,56.2935,-159.169
2018-02-07T23:21:12.360Z,8,av61652871,2018-02-07 23:21:12,8.24,3.08,56.3023333,-159.1291667
2018-02-07T23:37:34.140Z,9,av61652891,2018-02-07 23:37:34,3.35,1.93,56.3341667,-159.1045
2018-02-07T23:42:36.670Z,10,av70776314,2018-02-07 23:42:36,9.6,0.86,56.299,-159.1833333
2018-02-08T02:31:46.050Z,11,av61652991,2018-02-08 02:31:46,8.86,1.51,56.2298333,-158.6481667
2018-02-08T05:26:21.670Z,12,av70776399,2018-02-08 05:26:21,-1.88,0.37,56.27,-159.1723333
2018-02-08T14:34:24.580Z,13,av61653396,2018-02-08 14:34:24,10.6,1.65,56.3161667,-159.0963333
2018-02-09T11:38:03.550Z,14,av70776634,2018-02-09 11:38:03,6.18,0.91,56.2481667,-159.1821667
2018-02-13T01:21:39.210Z,15,av61656556,2018-02-13 01:21:39,14.39,0.58,56.206,-159.3568333
2018-02-13T21:47:18.320Z,16,av61657246,2018-02-13 21:47:18,3.21,1.33,56.3148333,-159.4801667
2018-02-13T21:48:06.400Z,17,av61657251,2018-02-13 21:48:06,-2.61,0.79,56.3248333,-159.4638333
2018-02-13T23:28:02.740Z,18,av70777084,2018-02-13 23:28:02,23.17,0.6,56.0978333,-159.3718333
2018-02-14T02:07:12.810Z,19,av61657381,2018-02-14 02:07:12,3.19,1.09,56.313,-159.4813333
2018-02-14T11:51:02.340Z,20,av61657531,2018-02-14 11:51:02,5.86,1.12,56.2521667,-159.1681667
2018-02-20T05:06:19.360Z,21,av61663236,2018-02-20 05:06:19,6.66,0.7,56.274,-159.1833333
2018-02-23T04:35:08.090Z,22,av61665731,2018-02-23 04:35:08,7.8,1.61,56.2913333,-159.1468333
2018-03-13T04:39:56.020Z,23,av61684101,2018-03-13 04:39:56,-1.96,2.42,56.8725,-158.5065
2018-03-17T02:15:43.030Z,24,av61686011,2018-03-17 02:15:43,2.22,0.8,56.3106667,-159.4675
2018-03-21T15:34:39.260Z,25,av61687936,2018-03-21 15:34:39,25.19,1.25,56.204,-159.4076667
2018-03-21T20:17:43.220Z,26,av61687996,2018-03-21 20:17:43,25.27,0.81,56.2133333,-159.5103333
2018-03-21T22:26:41.560Z,27,av61688021,2018-03-21 22:26:41,21.23,0.17,56.2203333,-159.4121667
2018-03-22T01:30:55.560Z,28,av61688071,2018-03-22 01:30:55,16.66,0.4,56.1238333,-159.603
2018-03-22T22:32:40.530Z,29,av70780829,2018-03-22 22:32:40,27.14,0.68,56.0248333,-159.3738333
2018-03-24T08:57:34.430Z,30,av61689226,2018-03-24 08:57:34,22.03,1.16,56.062,-159.4751667
2018-03-24T19:46:33.200Z,31,av61689376,2018-03-24 19:46:33,20.25,1.05,56.0585,-159.4781667
2018-03-25T11:26:29.900Z,32,av61689631,2018-03-25 11:26:29,-3.17,2.17,56.9076667,-158.5558333
2018-03-26T02:37:51.370Z,33,av70781284,2018-03-26 02:37:51,22.15,0.99,56.0723333,-159.4458333
2018-03-27T08:53:57.330Z,34,av70781384,2018-03-27 08:53:57,34.36,1.11,56.0111667,-159.2921667
2018-03-29T07:31:05.650Z,35,av61691146,2018-03-29 07:31:05,14.01,0.85,56.064,-159.5551667
2018-03-30T07:04:53.180Z,36,av61691596,2018-03-30 07:04:53,13.96,1,56.0561667,-159.5153333
2018-03-31T06:26:00.100Z,37,av61692016,2018-03-31 06:26:00,14.02,1.19,56.039,-159.6913333
2018-03-31T18:59:26.370Z,38,av70782224,2018-03-31 18:59:26,12.87,0.96,56.0851667,-159.4481667
2018-04-03T16:55:20.260Z,39,av70782619,2018-04-03 16:55:20,14.77,0.85,56.2938333,-159.0955
2018-04-12T07:35:21.570Z,40,av70784354,2018-04-12 07:35:21,13.14,1.07,56.2855,-158.8058333
2018-04-21T01:18:24.070Z,41,av61700101,2018-04-21 01:18:24,10.65,2.47,56.3435,-159.5471667
2018-04-21T02:38:59.150Z,42,av70785204,2018-04-21 02:38:59,3.91,0.33,56.319,-159.4396667
2018-04-21T05:31:41.090Z,43,av70785219,2018-04-21 05:31:41,1.71,0.22,56.3236667,-159.4561667
2018-04-23T17:07:39.480Z,44,av61700701,2018-04-23 17:07:39,8.43,2.18,56.2798333,-159.2528333
2018-04-23T18:23:12.030Z,45,av61700731,2018-04-23 18:23:12,0.9,0.86,56.306,-159.4648333
2018-04-24T11:54:05.760Z,46,av61701111,2018-04-24 11:54:05,8.45,1.66,56.2725,-159.2591667
2018-04-25T07:39:33.680Z,47,av70785469,2018-04-25 07:39:33,13.46,1.74,56.2761667,-159.2371667
2018-04-25T12:08:16.490Z,48,av70785489,2018-04-25 12:08:16,10.99,1.37,56.2966667,-159.258
2018-04-26T10:04:20.740Z,49,av61702171,2018-04-26 10:04:20,18.97,1.2,56.3663333,-158.9578333
2018-05-02T08:46:16.180Z,50,av61704796,2018-05-02 08:46:16,5.51,0.81,56.2348333,-159.2366667
2018-05-02T09:22:46.040Z,51,av61704806,2018-05-02 09:22:46,-1.56,0.66,56.3128333,-159.4846667
2018-06-02T02:18:13.420Z,52,av70789984,2018-06-02 02:18:13,11.87,0.89,56.196,-159.1531667
2018-06-06T11:23:18.570Z,53,av61718176,2018-06-06 11:23:18,-0.53,1.26,56.1703333,-159.1945
2018-06-11T12:22:31.950Z,54,av61723096,2018-06-11 12:22:31,8.23,1.16,56.1831667,-159.1093333
2018-06-17T06:49:26.500Z,55,av70792704,2018-06-17 06:49:26,2.57,0.98,55.6948333,-159.3793333
2018-06-19T23:37:53.380Z,56,av70793029,2018-06-19 23:37:53,0.9,0.95,56.043,-159.468
2018-07-05T04:59:09.040Z,57,av61739216,2018-07-05 04:59:09,-2.15,1.35,56.42,-158.442
2018-07-05T11:03:16.580Z,58,av61739406,2018-07-05 11:03:16,12.88,0.49,56.236,-159.4118333
2018-07-06T06:03:50.200Z,59,av70794899,2018-07-06 06:03:50,20.62,1.06,56.0691667,-159.4665
2018-07-06T18:49:24.160Z,60,av61740351,2018-07-06 18:49:24,27.65,1.29,56.0533333,-159.4341667
2018-07-06T19:59:01.090Z,61,av61740371,2018-07-06 19:59:01,25.28,1.38,56.0366667,-159.4633333
2018-07-12T21:03:23.140Z,62,av61743151,2018-07-12 21:03:23,0.69,2.72,57.0296667,-157.7503333
2018-07-22T04:35:30.700Z,63,av61748151,2018-07-22 04:35:30,-2.57,1.29,56.2031667,-159.3465
2018-07-25T18:05:01.170Z,64,av70797099,2018-07-25 18:05:01,21.2,-0.09,56.921,-158.1671667
2018-07-25T18:06:24.200Z,65,av70797104,2018-07-25 18:06:24,19.37,-0.27,56.926,-158.222
2018-07-25T18:06:57.860Z,66,av70797109,2018-07-25 18:06:57,17.59,-0.85,56.894,-158.131
2018-07-25T18:07:09.030Z,67,av70797119,2018-07-25 18:07:09,21,-0.51,56.8736667,-158.093
2018-07-27T01:29:33.830Z,68,av61751991,2018-07-27 01:29:33,3.74,0.42,56.8685,-158.1495
2018-07-27T19:26:15.110Z,69,av70797389,2018-07-27 19:26:15,12.23,0.37,56.9026667,-158.2845
2018-07-27T19:28:02.320Z,70,av61752461,2018-07-27 19:28:02,22.88,0.04,56.927,-158.127
2018-07-27T19:28:52.820Z,71,av61752466,2018-07-27 19:28:52,18.85,0.13,56.9268333,-158.128
2018-07-27T23:16:19.610Z,72,av61752546,2018-07-27 23:16:19,20.83,0,56.8938333,-158.1673333
2018-08-06T23:34:29.820Z,73,av70798339,2018-08-06 23:34:29,3.69,0.92,56.8666667,-158.149
2018-08-24T22:12:53.490Z,74,av70800424,2018-08-24 22:12:53,11.24,-0.02,56.9015,-158.4308333
2018-08-25T20:13:54.260Z,75,av61765976,2018-08-25 20:13:54,2.04,0.58,56.9356667,-157.8161667
2018-09-02T02:31:29.360Z,76,av70801199,2018-09-02 02:31:29,18.68,1.08,56.3691667,-159.5956667
2018-09-02T17:07:51.870Z,77,av70801549,2018-09-02 17:07:51,17.09,-0.23,56.9241667,-158.1655
2018-09-02T17:10:19.040Z,78,av61769461,2018-09-02 17:10:19,19.86,0.34,56.8375,-158.0928333
2018-09-02T17:35:33.150Z,79,av70801204,2018-09-02 17:35:33,14.99,1.28,56.3821667,-159.6073333
2018-09-08T12:19:42.890Z,80,av61773001,2018-09-08 12:19:42,13.51,1.67,56.9541667,-157.5921667
2018-09-14T08:12:12.860Z,81,av61776801,2018-09-14 08:12:12,4.25,-0.14,56.8838333,-158.1555
2018-09-18T10:00:57.610Z,82,av70803594,2018-09-18 10:00:57,20.26,1.27,56.849,-158.0733333
2018-09-18T10:03:48.280Z,83,av61780621,2018-09-18 10:03:48,21.83,1.03,56.853,-158.1236667
2018-09-18T10:09:20.400Z,84,av61780646,2018-09-18 10:09:20,19.16,0.43,56.821,-158.1885
2018-09-21T20:58:38.670Z,85,av61782946,2018-09-21 20:58:38,7.19,0.6,56.9411667,-157.9101667
2018-09-26T18:43:10.870Z,86,av61787316,2018-09-26 18:43:10,23.26,0.51,56.8916667,-158.0908333
2018-09-29T18:06:09.430Z,87,av61788891,2018-09-29 18:06:09,3.83,1.81,56.9706667,-157.8123333
2018-10-03T06:12:31.500Z,88,av61791161,2018-10-03 06:12:31,7.7,0.64,56.2051667,-159.2286667
2018-10-10T23:11:22.970Z,89,av61795126,2018-10-10 23:11:22,4.62,1.03,56.8603333,-158.1445
2018-10-15T07:09:01.680Z,90,av61797641,2018-10-15 07:09:01,1.09,2.69,56.9558333,-157.7795
2018-10-19T05:16:29.820Z,91,av61799976,2018-10-19 05:16:29,9.52,1.04,56.966,-157.7558333
2018-10-19T12:04:09.510Z,92,av70807469,2018-10-19 12:04:09,14.3,1.24,56.3068333,-159.0751667
2018-10-25T18:43:52.790Z,93,av61803786,2018-10-25 18:43:52,5.21,1.43,56.1421667,-159.0818333
2018-10-27T00:58:50.410Z,94,av61804581,2018-10-27 00:58:50,5.63,2.2,56.3348333,-158.9886667
2018-11-01T14:18:39.360Z,95,av61809796,2018-11-01 14:18:39,8.55,1.92,56.2445,-159.2473333
2018-11-18T10:19:30.080Z,96,av70812344,2018-11-18 10:19:30,19.22,0.5,56.8351667,-158.0406667
2018-11-18T10:20:58.600Z,97,av70812349,2018-11-18 10:20:58,19.3,-0.5,56.8971667,-158.1391667
2018-11-24T05:46:25.520Z,98,av61825626,2018-11-24 05:46:25,-0.06,1.27,56.9556667,-157.7086667
2019-01-06T11:51:55.880Z,99,av70818254,2019-01-06 11:51:55,4.24,-0.48,56.9216667,-158.1523333
2019-01-09T06:45:36.810Z,100,av70818489,2019-01-09 06:45:36,9.22,0.88,56.2901667,-158.9393333
2019-02-01T13:54:47.630Z,101,av61908526,2019-02-01 13:54:47,0.68,2.49,56.9511667,-157.5995
2019-02-01T15:09:38.380Z,102,av61908561,2019-02-01 15:09:38,-3.19,4.06,57.0223333,-157.6583333
2019-02-01T15:22:41.570Z,103,av61908571,2019-02-01 15:22:41,-1.62,1.37,56.9245,-157.6266667
2019-02-01T17:11:42.780Z,104,av61908596,2019-02-01 17:11:42,-2.27,1.44,56.934,-157.6076667
2019-02-11T00:06:35.020Z,105,av61918511,2019-02-11 00:06:35,5.75,0.67,56.2613333,-159.444
2019-02-17T05:12:02.800Z,106,av61923591,2019-02-17 05:12:02,14.19,1.64,56.0636667,-159.7541667
2019-02-20T12:05:02.790Z,107,av70822889,2019-02-20 12:05:02,20.17,-0.78,56.8675,-158.1236667
2019-02-20T12:07:28.540Z,108,av70822894,2019-02-20 12:07:28,14.31,-0.25,56.9088333,-158.183
2019-02-26T03:22:56.850Z,109,av61930266,2019-02-26 03:22:56,7.52,1.77,56.9688333,-157.7038333
2019-02-28T09:59:33.320Z,110,av70823704,2019-02-28 09:59:33,15.87,0.32,56.9296667,-158.2391667
2019-02-28T10:06:25.880Z,111,av70823719,2019-02-28 10:06:25,20.91,0.48,56.8695,-158.0851667
2019-02-28T10:06:53.120Z,112,av70823714,2019-02-28 10:06:53,22.16,-0.3,56.8878333,-158.1503333
2019-03-06T16:19:36.240Z,113,av70824444,2019-03-06 16:19:36,18.45,0.11,56.8818333,-158.142
2019-03-06T16:22:21.550Z,114,av70824449,2019-03-06 16:22:21,11.56,0.43,56.8516667,-158.1641667
2019-03-06T16:23:18.080Z,115,av70824459,2019-03-06 16:23:18,16.05,0.79,56.8328333,-158.0311667
2019-03-06T16:25:22.100Z,116,av61938016,2019-03-06 16:25:22,16.95,1.16,56.7915,-158.0111667
2019-03-06T16:26:47.460Z,117,av61938021,2019-03-06 16:26:47,15.49,0.87,56.811,-158.0083333
2019-03-07T06:30:18.860Z,118,av61938941,2019-03-07 06:30:18,21.05,1.13,56.829,-158.0606667
2019-03-08T22:31:32.480Z,119,av61940576,2019-03-08 22:31:32,15.17,0.47,56.8676667,-158.1428333
2019-03-12T07:12:35.170Z,120,av61944386,2019-03-12 07:12:35,21.25,0.41,56.8865,-158.1146667
2019-04-07T06:16:02.900Z,121,av70827649,2019-04-07 06:16:02,14.58,0.35,56.8113333,-158.0675
2019-04-08T01:29:01.790Z,122,av61969991,2019-04-08 01:29:01,-3.2,2.53,56.996,-157.7821667
2019-04-09T05:07:44.250Z,123,av61971351,2019-04-09 05:07:44,-2.03,1.47,56.989,-157.7418333
2019-04-13T10:56:12.530Z,124,av61975786,2019-04-13 10:56:12,2.3,1.22,56.2826667,-159.2445
2019-04-25T20:40:47.620Z,125,av61986211,2019-04-25 20:40:47,6.1,1.31,56.2256667,-159.0941667
2019-04-27T06:23:13.560Z,126,av61987271,2019-04-27 06:23:13,4.48,1.66,56.1385,-159.0671667
2019-05-03T08:27:30.490Z,127,av61990226,2019-05-03 08:27:30,18.73,1.47,56.1375,-159.4453333
2019-05-06T04:35:32.150Z,128,av61992876,2019-05-06 04:35:32,13.62,1.97,56.3495,-158.936
2019-05-24T15:42:42.590Z,129,av62005546,2019-05-24 15:42:42,-3.2,2.6,56.8328333,-158.1171667
