Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91990106,2023-08-04 08:45:02,1.68,0.17,56.845,-158.1566666667,4.06 km (2.52 mi) SSW of Aniakchak (181º)
av91990096,2023-08-04 08:24:30,5.7,-0.09,56.8916666667,-158.077,4.87 km (3.02 mi) E of Aniakchak (77º)
av91989406,2023-08-03 17:58:37,3.16,0.01,56.9263333333,-158.018,9.70 km (6.02 mi) ENE of Aniakchak (59º)
av91112433,2023-08-03 10:01:05,1.07,-0.72,56.924,-158.025,9.20 km (5.71 mi) ENE of Aniakchak (59º)
av91988981,2023-08-03 07:35:35,4.06,0.5,56.8385,-158.071,7.00 km (4.34 mi) SE of Aniakchak (133º)
av91988306,2023-08-02 13:20:03,3.31,0.52,56.899,-158.0298333333,7.85 km (4.87 mi) E of Aniakchak (76º)
av91988281,2023-08-02 12:59:26,3.89,-0.54,56.9171666667,-158.0891666667,5.63 km (3.50 mi) ENE of Aniakchak (45º)
av91988266,2023-08-02 12:51:46,1.87,-0.67,56.9106666667,-158.059,6.67 km (4.14 mi) ENE of Aniakchak (61º)
av91988006,2023-08-02 06:03:34,5.58,0.07,56.9275,-158.0016666667,10.62 km (6.60 mi) ENE of Aniakchak (61º)
av91987346,2023-08-01 15:36:14,2.67,0.02,56.8791666667,-158.073,4.99 km (3.10 mi) ESE of Aniakchak (93º)
av91112303,2023-08-01 01:29:03,3.96,0.36,56.8691666667,-158.0956666667,3.86 km (2.40 mi) ESE of Aniakchak (111º)
av91112293,2023-07-31 23:01:13,5.13,-0.03,56.8541666667,-158.1528333333,3.04 km (1.89 mi) S of Aniakchak (178º)
av91986141,2023-07-31 22:14:18,2.03,-0.35,56.8628333333,-158.1438333333,2.18 km (1.36 mi) S of Aniakchak (162º)
av91985671,2023-07-31 15:33:47,-3.2,0.24,56.9075,-158.0618333333,6.35 km (3.95 mi) ENE of Aniakchak (63º)
av91112218,2023-07-31 10:39:18,2.03,-0.08,56.8896666667,-158.0485,6.53 km (4.06 mi) E of Aniakchak (82º)
av91983281,2023-07-30 02:28:31,3.19,0.89,56.8716666667,-158.0691666667,5.33 km (3.31 mi) ESE of Aniakchak (102º)
av91983276,2023-07-30 02:19:01,4.71,0.32,56.863,-158.0615,6.04 km (3.75 mi) ESE of Aniakchak (110º)
av91112023,2023-07-28 17:20:44,5.38,0.38,56.8658333333,-158.0805,4.85 km (3.01 mi) ESE of Aniakchak (111º)
av91981281,2023-07-28 17:09:08,7.48,-0.57,56.886,-158.1403333333,1.02 km (0.63 mi) ENE of Aniakchak (61º)
av91980146,2023-07-28 00:08:25,4.85,0.36,56.8675,-158.0363333333,7.38 km (4.58 mi) ESE of Aniakchak (102º)
av91980026,2023-07-27 22:48:58,5,0.43,56.9015,-158.0728333333,5.46 km (3.39 mi) ENE of Aniakchak (66º)
av91979936,2023-07-27 21:33:25,5.05,0.45,56.9005,-158.0871666667,4.63 km (2.88 mi) ENE of Aniakchak (63º)
av91979641,2023-07-27 17:58:44,5.57,-0.03,56.9063333333,-158.0753333333,5.57 km (3.46 mi) ENE of Aniakchak (60º)
av91111838,2023-07-27 17:50:30,3.19,2.83,56.9041666667,-158.0728333333,5.59 km (3.47 mi) ENE of Aniakchak (63º)
av91979366,2023-07-27 13:10:03,4.04,-0.29,56.8701666667,-158.0828333333,4.56 km (2.83 mi) ESE of Aniakchak (106º)
av91978446,2023-07-26 23:41:58,4.02,1.09,56.9106666667,-158.0781666667,5.68 km (3.53 mi) ENE of Aniakchak (55º)
