Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91085858,2023-01-27 06:11:02,2.4,0.07,56.8716666667,-158.2071666667,3.35 km (2.08 mi) W of Aniakchak (251º)
av91085128,2023-01-20 09:26:30,5.89,1.72,56.8823333333,-158.1618333333,0.43 km (0.26 mi) WNW of Aniakchak (283º)
av91084083,2023-01-11 20:50:52,0.84,0,56.8755,-158.1893333333,2.19 km (1.36 mi) W of Aniakchak (252º)
av91083143,2023-01-04 11:34:36,5.86,0.61,56.9095,-158.122,3.70 km (2.30 mi) NE of Aniakchak (33º)
av91083133,2023-01-04 07:17:23,6.37,1.08,56.8498333333,-158.0643333333,6.54 km (4.06 mi) SE of Aniakchak (123º)
av91082713,2023-01-02 21:22:46,-3.2,1.31,56.8681666667,-158.191,2.64 km (1.64 mi) WSW of Aniakchak (236º)
av91082573,2023-01-02 08:43:42,6.81,0.39,56.857,-158.0753333333,5.56 km (3.45 mi) SE of Aniakchak (119º)
av91082833,2023-01-01 19:05:52,10.62,0.82,56.8133333333,-158.0935,8.45 km (5.25 mi) SSE of Aniakchak (154º)
av91082823,2023-01-01 19:02:43,6.73,0.51,56.855,-158.0776666667,5.55 km (3.44 mi) SE of Aniakchak (122º)
av91082223,2022-12-29 17:12:28,0.67,1.07,56.8775,-158.1905,2.20 km (1.37 mi) W of Aniakchak (258º)
av91082073,2022-12-28 00:58:55,3.3,-0.67,56.8591666667,-158.2025,3.81 km (2.36 mi) WSW of Aniakchak (229º)
av91081418,2022-12-21 12:16:50,1.65,0.89,56.8735,-158.1855,2.06 km (1.28 mi) WSW of Aniakchak (244º)
av91081363,2022-12-21 01:55:41,4.12,0.17,56.8308333333,-158.2941666667,10.16 km (6.31 mi) WSW of Aniakchak (236º)
av91081283,2022-12-20 14:08:58,3.84,-0.7,56.8785,-158.1801666667,1.57 km (0.97 mi) W of Aniakchak (258º)
av91081228,2022-12-20 06:12:25,1.21,0,56.8568333333,-158.1691666667,2.87 km (1.79 mi) SSW of Aniakchak (197º)
av91081213,2022-12-20 04:12:55,1.02,-0.81,56.8563333333,-158.1748333333,3.05 km (1.89 mi) SW of Aniakchak (203º)
av91081208,2022-12-20 03:01:16,3.68,0.49,56.8761666667,-158.182,1.74 km (1.08 mi) W of Aniakchak (250º)
av91081098,2022-12-19 18:05:59,3.96,-0.81,56.865,-158.14,2.05 km (1.27 mi) SSE of Aniakchak (154º)
av91080998,2022-12-19 07:22:08,6.18,-0.87,56.8503333333,-158.1668333333,3.54 km (2.20 mi) SSW of Aniakchak (192º)
av91080968,2022-12-19 05:52:09,3.22,-0.77,56.859,-158.1913333333,3.34 km (2.07 mi) SW of Aniakchak (221º)
av91080973,2022-12-19 05:52:09,6.69,0.32,56.8545,-158.2153333333,4.74 km (2.94 mi) WSW of Aniakchak (231º)
av91080923,2022-12-19 04:43:43,7.41,-0.53,56.9203333333,-158.072,6.64 km (4.12 mi) ENE of Aniakchak (49º)
av91081138,2022-12-18 17:31:46,3.26,-0.27,56.8701666667,-158.1693333333,1.53 km (0.95 mi) SW of Aniakchak (215º)
av91081133,2022-12-18 11:17:12,3.17,0.85,56.8991666667,-158.0881666667,4.51 km (2.80 mi) ENE of Aniakchak (64º)
av91081128,2022-12-18 09:49:38,4.65,1.7,56.8985,-158.0925,4.24 km (2.63 mi) ENE of Aniakchak (64º)
