Event ID,Date/Time UTC,Depth km,Magnitude,Latitude,Longitude,Distance From Closest Volcano
av91073318,2022-09-30 23:11:35,6.5,-0.46,56.9086666667,-158.199,4.03 km (2.50 mi) NNW of Aniakchak (319º)
av91072383,2022-09-27 07:07:31,-2.46,1.57,56.786,-157.7266666667,28.14 km (17.47 mi) ESE of Aniakchak (112º)
av91072333,2022-09-26 08:08:42,6.45,-0.33,56.897,-158.0531666667,6.42 km (3.99 mi) E of Aniakchak (74º)
av91071508,2022-09-19 04:01:04,4.03,-0.51,56.759,-158.0705,14.56 km (9.04 mi) S of Aniakchak (159º)
av91070708,2022-09-05 22:40:53,12,0.66,56.8076666667,-158.0703333333,9.69 km (6.02 mi) SSE of Aniakchak (148º)
av91069158,2022-08-24 14:43:28,1.41,-0.84,56.8575,-158.1711666667,2.84 km (1.77 mi) SSW of Aniakchak (200º)
av91069013,2022-08-22 08:53:19,8.85,0.9,56.9316666667,-158.2975,10.29 km (6.39 mi) NW of Aniakchak (303º)
av91650561,2022-07-30 23:56:15,8.5,2.77,56.4379997253,-157.7633361816,54.82 km (34.04 mi) SSE of Aniakchak (154º)
av91644621,2022-07-24 12:53:50,28.29,1.68,56.8505,-158.0835,5.55 km (3.44 mi) SE of Aniakchak (128º)
av91644616,2022-07-24 12:52:05,7.95,1.49,56.87,-157.9778333333,10.84 km (6.73 mi) ESE of Aniakchak (97º)
av91644361,2022-07-24 06:55:31,14.3,0.23,56.91,-158.1978333333,4.10 km (2.55 mi) NNW of Aniakchak (321º)
av91644356,2022-07-24 06:54:40,13.88,-0.21,56.8973333333,-158.1633333333,1.83 km (1.14 mi) N of Aniakchak (344º)
av91644351,2022-07-24 06:52:15,13.32,-0.31,56.8965,-158.1748333333,2.06 km (1.28 mi) NNW of Aniakchak (324º)
av91644346,2022-07-24 06:50:59,14.37,-0.05,56.8941666667,-158.1818333333,2.15 km (1.34 mi) NW of Aniakchak (311º)
av91644341,2022-07-24 06:49:58,13.2,-0.07,56.8881666667,-158.1523333333,0.76 km (0.47 mi) NNE of Aniakchak (12º)
av91626591,2022-07-10 17:22:12,0,0.85,56.8863333333,-157.9068333333,15.09 km (9.37 mi) E of Aniakchak (88º)
av91065868,2022-07-10 06:33:54,16.57,-0.45,56.8955,-158.1405,1.79 km (1.11 mi) NE of Aniakchak (29º)
