-168.85467034 52.9706056 7,4 RM ab02
-162.314 55.089 7,4 RM ac25
-160.477 55.349 7,4 RM ab07
-158.504 56.307 7,4 RM ab13
-159.128 55.921 7,4 RM ac21
-160.049 55.078 7,4 RM ac28
-158.619 56.930 7,4 RM ac40
-159.091509 59.108168 7,4 RM ab14
-154.183044 56.950586 7,4 RM ac02
-153.644676 58.928776 7,4 RM ac08
-159.58954 54.83097 7,4 RM ac12
-154.16288 59.252508 7,4 RM ac27
-153.279177 57.220027 7,4 RM ac34
-152.39408 58.60972 7,4 RM ac39
-154.18096 56.564453 7,4 RM ac45
-152.62392 60.081452 7,4 RM ac47
-157.574194 57.567251 7,4 RM ac52
-152.42543 57.79072 7,4 RM ac67
-155.62240000041652 55.821900000717285 7,4 RM ac13
-154.15029999966188 58.21456000033207 7,4 RM ac26
-160.40728400020237 55.90867100097053 7,4 RM ac41
-162.78363099980677 54.471779000568596 7,4 RM ac42
