mag,lat,lon,depth,time
-0.4,64.7795,-146.9828,0.0,568088532.07
3.4,64.11,-148.97,33.0,569130825.72
3.4,65.33,-148.42,33.0,569985115.68
3.1,65.94,-146.9,33.0,575283280.98
2.8,64.01,-148.95,33.0,577246510.77
-0.1,64.6508,-147.9602,-0.33,583825338.49
3.9,65.33,-146.289,10.0,587833938.6
4.1,64.427,-146.857,33.0,592790628.2
2.9,64.9,-148.831,33.0,593877324.2
4.4,64.046,-147.344,33.0,594588951.2
3.7,64.144,-147.229,33.0,594591167.8
2.8,64.129,-147.183,33.0,594602596.5
3.0,65.025,-147.255,10.0,596132337.7
2.0,64.6145,-146.5277,16.31,599629844.38
1.5,64.968,-147.5768,21.63,599650591.99
1.2,65.1663,-148.1252,16.73,599672618.82
2.4,64.4825,-147.8087,7.66,599683997.63
1.0,64.8878,-148.6248,17.53,599692875.77
2.1,64.7193,-147.3692,15.95,599721169.34
1.4,64.8137,-147.3315,10.98,599744208.06
0.9,64.7382,-148.532,15.75,599782607.57
1.6,64.4128,-147.2875,7.94,599801183.13
1.7,64.8952,-147.7602,21.06,599871017.33
0.7,64.9028,-148.4925,10.32,599884032.12
1.4,64.7713,-147.399,14.8,599888790.76
1.0,64.255,-148.1307,8.56,599910609.7
1.1,64.8688,-148.8103,22.25,599978801.31
1.4,64.7653,-146.8493,-3.0,600047566.4
0.8,64.6593,-146.8998,-0.56,600048846.34
2.0,64.8445,-148.2623,21.4,600090931.8
1.7,64.8328,-148.2305,26.81,600093256.9
1.3,64.9905,-147.5253,26.99,600126666.28
0.8,64.8358,-148.2492,27.2,600155880.79
0.8,64.2507,-147.4038,12.49,600184076.14
1.6,64.886,-147.7497,19.19,600243665.07
0.5,64.8853,-147.7472,17.27,600264694.12
1.4,65.059,-147.0073,15.91,600288271.82
1.3,64.9857,-147.5668,16.14,600373284.55
2.4,64.9897,-147.1525,10.47,600418953.36
1.2,64.1357,-148.278,20.36,600448229.37
1.4,64.806,-148.9725,21.2,600502075.25
0.6,64.9232,-147.5512,10.55,600514520.63
0.8,64.9872,-147.7158,16.96,600519888.53
1.1,64.761,-147.0883,-0.62,600537816.9
1.6,64.9822,-147.7118,16.53,600538344.2
0.6,64.852,-147.7022,19.05,600604652.01
0.7,64.4615,-147.869,13.28,600657191.98
0.8,65.0465,-146.9817,-1.25,600727627.01
0.9,64.9193,-147.9833,1.98,600735608.85
1.5,64.6272,-147.0192,9.31,600751440.7
1.4,64.672,-146.9205,-0.41,600754455.49
