-163.000000 53.000000 0.000903	-166.800000 51.950000 10.626751 
-163.000000 53.000000 0.000848	-166.750000 51.950000 10.246804 
-163.000000 53.000000 0.000793	-166.700000 51.950000 9.789177 
-163.000000 53.000000 0.000738	-166.650000 51.950000 9.336640 
-163.000000 53.000000 0.000738	-166.800000 52.000000 11.102888 
-163.000000 53.000000 0.000738	-166.750000 52.000000 10.703888 
-163.000000 53.000000 0.000683	-166.700000 52.000000 10.230066 
-163.000000 53.000000 0.000683	-166.650000 52.000000 9.762943 
-163.000000 53.000000 0.000683	-166.600000 52.000000 9.341207 
-163.000000 53.000000 0.000683	-166.550000 52.000000 8.977426 
-163.000000 53.000000 0.000627	-166.500000 52.000000 8.668831 
-163.000000 53.000000 0.000627	-166.800000 52.050000 11.632199 
-163.000000 53.000000 0.000627	-166.750000 52.050000 11.213083 
-163.000000 53.000000 0.000572	-166.700000 52.050000 10.722360 
-163.000000 53.000000 0.000572	-166.650000 52.050000 10.240081 
-163.000000 53.000000 0.000572	-166.600000 52.050000 9.804144 
-163.000000 53.000000 0.000572	-166.550000 52.050000 9.426744 
-163.000000 53.000000 0.000572	-166.500000 52.050000 9.104986 
-163.000000 53.000000 0.000516	-166.450000 52.050000 8.830698 
-163.000000 53.000000 0.000516	-166.400000 52.050000 8.596200 
-163.000000 53.000000 0.000516	-166.350000 52.050000 8.394631 
-163.000000 53.000000 0.000516	-166.800000 52.100000 12.216499 
-163.000000 53.000000 0.000516	-166.750000 52.100000 11.776373 
-163.000000 53.000000 0.000516	-166.700000 52.100000 11.268193 
-163.000000 53.000000 0.000516	-166.650000 52.100000 10.770337 
-163.000000 53.000000 0.000516	-166.600000 52.100000 10.319800 
-163.000000 53.000000 0.000461	-166.550000 52.100000 9.928353 
-163.000000 53.000000 0.000461	-166.500000 52.100000 9.592964 
-163.000000 53.000000 0.000461	-166.450000 52.100000 9.305428 
-163.000000 53.000000 0.000461	-166.400000 52.100000 9.058040 
-163.000000 53.000000 0.000461	-166.350000 52.100000 8.843916 
-163.000000 53.000000 0.000461	-166.300000 52.100000 8.657046 
-163.000000 53.000000 0.000405	-166.250000 52.100000 8.492301 
-163.000000 53.000000 0.000405	-166.200000 52.100000 8.345386 
-163.000000 53.000000 0.000405	-166.150000 52.100000 8.212786 
-163.000000 53.000000 0.000405	-166.800000 52.150000 12.857119 
-163.000000 53.000000 0.000405	-166.750000 52.150000 12.395272 
-163.000000 53.000000 0.000405	-166.700000 52.150000 11.869242 
-163.000000 53.000000 0.000405	-166.650000 52.150000 11.355533 
-163.000000 53.000000 0.000405	-166.600000 52.150000 10.890137 
-163.000000 53.000000 0.000405	-166.550000 52.150000 10.484353 
-163.000000 53.000000 0.000405	-166.500000 52.150000 10.134996 
-163.000000 53.000000 0.000405	-166.450000 52.150000 9.833831 
-163.000000 53.000000 0.000349	-166.400000 52.150000 9.573130 
-163.000000 53.000000 0.000349	-166.350000 52.150000 9.345985 
-163.000000 53.000000 0.000349	-166.300000 52.150000 9.146370 
-163.000000 53.000000 0.000349	-166.250000 52.150000 8.969135 
-163.000000 53.000000 0.000349	-166.200000 52.150000 8.809976 
-163.000000 53.000000 0.000349	-166.150000 52.150000 8.665368 
-163.000000 53.000000 0.000349	-166.100000 52.150000 8.532483 
-163.000000 53.000000 0.000349	-166.050000 52.150000 8.409098 
-163.000000 53.000000 0.000349	-166.000000 52.150000 8.293495 
-163.000000 53.000000 0.000349	-166.800000 52.200000 13.554838 
-163.000000 53.000000 0.000349	-166.750000 52.200000 13.070754 
-163.000000 53.000000 0.000349	-166.700000 52.200000 12.526629 
-163.000000 53.000000 0.000349	-166.650000 52.200000 11.996930 
-163.000000 53.000000 0.000293	-166.600000 52.200000 11.516548 
-163.000000 53.000000 0.000293	-166.550000 52.200000 11.096268 
-163.000000 53.000000 0.000293	-166.500000 52.200000 10.732738 
-163.000000 53.000000 0.000293	-166.450000 52.200000 10.417692 
-163.000000 53.000000 0.000293	-166.400000 52.200000 10.143378 
-163.000000 53.000000 0.000293	-166.350000 52.200000 9.902873 
-163.000000 53.000000 0.000293	-166.300000 52.200000 9.690131 
-163.000000 53.000000 0.000293	-166.250000 52.200000 9.499992 
-163.000000 53.000000 0.000293	-166.200000 52.200000 9.328146 
-163.000000 53.000000 0.000293	-166.150000 52.200000 9.171065 
-163.000000 53.000000 0.000293	-166.100000 52.200000 9.025923 
-163.000000 53.000000 0.000293	-166.050000 52.200000 8.890500 
-163.000000 53.000000 0.000293	-166.000000 52.200000 8.763089 
-163.000000 53.000000 0.000293	-165.950000 52.200000 8.642400 
-163.000000 53.000000 0.000293	-165.900000 52.200000 8.527473 
-163.000000 53.000000 0.000293	-165.850000 52.200000 8.417608 
-163.000000 53.000000 0.000237	-166.800000 52.250000 14.309853 
-163.000000 53.000000 0.000237	-166.750000 52.250000 13.803201 
-163.000000 53.000000 0.000237	-166.700000 52.250000 13.240877 
-163.000000 53.000000 0.000237	-166.650000 52.250000 12.695165 
-163.000000 53.000000 0.000237	-166.600000 52.250000 12.199782 
-163.000000 53.000000 0.000237	-166.550000 52.250000 11.764960 
-163.000000 53.000000 0.000237	-166.500000 52.250000 11.387168 
-163.000000 53.000000 0.000237	-166.450000 52.250000 11.058107 
-163.000000 53.000000 0.000237	-166.400000 52.250000 10.770004 
-163.000000 53.000000 0.000237	-166.350000 52.250000 10.515917 
-163.000000 53.000000 0.000237	-166.300000 52.250000 10.289791 
-163.000000 53.000000 0.000237	-166.250000 52.250000 10.086460 
-163.000000 53.000000 0.000237	-166.200000 52.250000 9.901614 
-163.000000 53.000000 0.000237	-166.150000 52.250000 9.731728 
-163.000000 53.000000 0.000237	-166.100000 52.250000 9.573983 
-163.000000 53.000000 0.000237	-166.050000 52.250000 9.426171 
-163.000000 53.000000 0.000237	-166.000000 52.250000 9.286597 
-163.000000 53.000000 0.000237	-165.950000 52.250000 9.153981 
-163.000000 53.000000 0.000237	-165.900000 52.250000 9.027377 
-163.000000 53.000000 0.000181	-165.850000 52.250000 8.906091 
-163.000000 53.000000 0.000181	-165.800000 52.250000 8.789612 
-163.000000 53.000000 0.000181	-165.750000 52.250000 8.677563 
-163.000000 53.000000 0.000181	-165.700000 52.250000 8.569652 
-163.000000 53.000000 0.000181	-166.800000 52.300000 15.121781 
-163.000000 53.000000 0.000181	-166.750000 52.300000 14.592401 
-163.000000 53.000000 0.000181	-166.700000 52.300000 14.011881 
-163.000000 53.000000 0.000181	-166.650000 52.300000 13.450221 
-163.000000 53.000000 0.000181	-166.600000 52.300000 12.939906 
-163.000000 53.000000 0.000181	-166.550000 52.300000 12.490584 
-163.000000 53.000000 0.000181	-166.500000 52.300000 12.098535 
-163.000000 53.000000 0.000181	-166.450000 52.300000 11.755423 
-163.000000 53.000000 0.000181	-166.400000 52.300000 11.453455 
-163.000000 53.000000 0.000181	-166.350000 52.300000 11.185675 
-163.000000 53.000000 0.000181	-166.300000 52.300000 10.946023 
-163.000000 53.000000 0.000181	-166.250000 52.300000 10.729335 
-163.000000 53.000000 0.000181	-166.200000 52.300000 10.531304 
-163.000000 53.000000 0.000181	-166.150000 52.300000 10.348419 
-163.000000 53.000000 0.000181	-166.100000 52.300000 10.177876 
-163.000000 53.000000 0.000181	-166.050000 52.300000 10.017479 
